trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
262,False,"{'a': 0.5, 'e': 0.7066810904097934}",25,3,-52.20331391773706,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 1}",1
263,False,"{'a': 0.5, 'e': 0.7045553168836329}",30,0,-32.88299480799766,"{0: 23, 1: 4, 2: 2, 3: 1, 4: 0}",0
264,False,"{'a': 0.5, 'e': 0.7024232023643763}",25,13,-8.312934332064149,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
265,False,"{'a': 0.5, 'e': 0.7002847660410396}",25,0,-99.55103415812866,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
266,False,"{'a': 0.5, 'e': 0.6981400271595356}",20,0,-82.29640122109082,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
267,False,"{'a': 0.5, 'e': 0.6959890050224995}",20,0,-11.268282440573408,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
268,False,"{'a': 0.5, 'e': 0.6938317189891162}",20,11,-18.5071227130912,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
269,False,"{'a': 0.5, 'e': 0.6916681884749454}",35,5,-50.09039117345126,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",1
270,False,"{'a': 0.5, 'e': 0.689498432951747}",20,0,-101.99938126750746,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
271,False,"{'a': 0.5, 'e': 0.6873224719473061}",25,0,-64.86293295324802,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
272,False,"{'a': 0.5, 'e': 0.6851403250452572}",20,8,-19.29486211127593,"{0: 8, 1: 3, 2: 0, 3: 1, 4: 0}",1
273,False,"{'a': 0.5, 'e': 0.6829520118849075}",30,10,-125.26992351341279,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",1
274,False,"{'a': 0.5, 'e': 0.6807575521610608}",20,0,-15.29320357465522,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
275,False,"{'a': 0.5, 'e': 0.6785569656238398}",30,0,-37.45090306280053,"{0: 21, 1: 6, 2: 2, 3: 1, 4: 0}",0
276,False,"{'a': 0.5, 'e': 0.6763502720785084}",25,0,-65.26789355857687,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
277,False,"{'a': 0.5, 'e': 0.6741374913852938}",20,0,-126.5961261892585,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
278,False,"{'a': 0.5, 'e': 0.671918643459207}",20,0,-70.15301286170768,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
279,False,"{'a': 0.5, 'e': 0.6696937482698646}",30,11,-121.2359040814427,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 2}",1
280,False,"{'a': 0.5, 'e': 0.6674628258413081}",20,0,-76.92971122519123,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
281,False,"{'a': 0.5, 'e': 0.6652258962518245}",25,0,-11.495407349332087,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
282,False,"{'a': 0.5, 'e': 0.6629829796337648}",30,22,-68.96919833616256,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 2}",1
283,False,"{'a': 0.5, 'e': 0.6607340961733636}",25,2,-95.08471735274271,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 1}",1
284,False,"{'a': 0.5, 'e': 0.6584792661105568}",25,8,-43.722822592894246,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
285,False,"{'a': 0.5, 'e': 0.6562185097387998}",20,9,-60.42628587771109,"{0: 5, 1: 4, 2: 1, 3: 0, 4: 1}",1
286,False,"{'a': 0.5, 'e': 0.6539518474048844}",20,0,-30.644359138576828,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
287,False,"{'a': 0.5, 'e': 0.6516792995087568}",25,5,-90.90663355841865,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",1
288,False,"{'a': 0.5, 'e': 0.6494008865033323}",25,1,-88.22916462432333,"{0: 16, 1: 3, 2: 2, 3: 2, 4: 1}",1
289,False,"{'a': 0.5, 'e': 0.6471166288943128}",25,7,2.530423051166707,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
290,False,"{'a': 0.5, 'e': 0.6448265472400012}",30,3,-44.06035091322396,"{0: 18, 1: 5, 2: 3, 3: 1, 4: 0}",1
291,False,"{'a': 0.5, 'e': 0.6425306621511171}",25,7,-1.4334698376079356,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
292,False,"{'a': 0.5, 'e': 0.6402289942906106}",25,0,-35.67073037942787,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
293,False,"{'a': 0.5, 'e': 0.6379215643734771}",30,0,-22.820649631237128,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
294,False,"{'a': 0.5, 'e': 0.6356083931665703}",25,0,-98.63660139857734,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
295,False,"{'a': 0.5, 'e': 0.6332895014884152}",25,13,-6.712654357407451,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
296,False,"{'a': 0.5, 'e': 0.6309649102090216}",35,8,-65.78652864597866,"{0: 18, 1: 5, 2: 3, 3: 0, 4: 1}",1
297,False,"{'a': 0.5, 'e': 0.628634640249695}",25,0,-70.8231676509469,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
298,False,"{'a': 0.5, 'e': 0.6262987125828494}",25,0,-29.749227645072306,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
299,False,"{'a': 0.5, 'e': 0.6239571482318181}",25,0,-96.12327303557726,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
300,False,"{'a': 0.5, 'e': 0.6216099682706644}",25,0,-62.98084398878645,"{0: 16, 1: 5, 2: 2, 3: 2, 4: 0}",0
301,False,"{'a': 0.5, 'e': 0.6192571938239922}",20,10,-31.588898022029543,"{0: 6, 1: 2, 2: 1, 3: 1, 4: 0}",1
302,False,"{'a': 0.5, 'e': 0.6168988460667556}",20,0,-97.24931338038822,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
303,False,"{'a': 0.5, 'e': 0.6145349462240683}",35,13,-49.56016783156612,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 1}",1
